ordernumber;image;main;description;position;width;height;relations
G11933;http://shopware.p562114.webspaceconfig.de/media/image/38/11/e8/Tymbark-1litr-Pomaranza.jpg;1;;1;0;0;
G11951;http://shopware.p562114.webspaceconfig.de/media/image/9a/fc/56/Tymbark-jablko-aronia-wisnia-poziomka.png;1;;1;0;0;
G11954;http://shopware.p562114.webspaceconfig.de/media/image/00/0a/bd/Tymbark-2litr-x-6-st-Jabko-MjataQ80pGI2auCYQf.jpg;1;;1;0;0;
G11955;http://shopware.p562114.webspaceconfig.de/media/image/23/e5/13/Tymbark-Kaktus-400ml.jpg;1;;1;0;0;
G11956;http://shopware.p562114.webspaceconfig.de/media/image/a9/3c/bc/tymbarkjablkokiwi250ml_ico.png;1;;1;0;0;
G11957;http://shopware.p562114.webspaceconfig.de/media/image/55/69/07/tymbark-lemon_z1.jpg;1;;1;0;0;
G11959;http://shopware.p562114.webspaceconfig.de/media/image/c2/b5/f6/ga_02073_tymbark-napoj-malina-mieta-250ml-x-24st_z1.png;1;;1;0;0;
G11960;http://shopware.p562114.webspaceconfig.de/media/image/c9/29/bc/tymbark-mango-minze-250ml_z1.png;1;;1;0;0;
G11961;http://shopware.p562114.webspaceconfig.de/media/image/38/ea/4e/tymbark-250ml-zitrone-minze.png;1;;1;0;0;
G11962;http://shopware.p562114.webspaceconfig.de/media/image/69/85/5b/tymbark-200ml-mix.png;1;;1;0;0;
G11964;http://shopware.p562114.webspaceconfig.de/media/image/8e/82/93/Tymbark-Multiwitamina-z-Czerwonimi-owocami.jpg;1;;1;0;0;
G11965;http://shopware.p562114.webspaceconfig.de/media/image/4a/90/fb/Tymbark-Kaktus-1liter.jpg;1;;1;0;0;
G11966;http://shopware.p562114.webspaceconfig.de/media/image/2d/d0/e1/Tymbark-Owoce-swiata-Limonka.jpg;1;;1;0;0;
G11967;http://shopware.p562114.webspaceconfig.de/media/image/d3/27/47/Tymbark-Owoce-swiata-Mango.jpg;1;;1;0;0;
G11968;http://shopware.p562114.webspaceconfig.de/media/image/36/2f/b6/Tymbark-Owoce-swiata-Zurawina.png;1;;1;0;0;
G11970;http://shopware.p562114.webspaceconfig.de/media/image/5c/6b/a1/Tymbark-pomarancz-200mlhsfOa3Ct7LiWF.png;1;;1;0;0;
G11972;http://shopware.p562114.webspaceconfig.de/media/image/0e/78/52/Tymbark-pomarancz-200mljxPwF0zvAsOYn.png;1;;1;0;0;
G11973;http://shopware.p562114.webspaceconfig.de/media/image/00/85/b4/ga_02075_tymbark-napoj-pomaranczabrozkowinia-250ml-x-24st_z1.png;1;;1;0;0;
G11974;http://shopware.p562114.webspaceconfig.de/media/image/bb/69/5b/Tymbark-Sok-pomidorwy-100-1-L.jpg;1;;1;0;0;
G11975;http://shopware.p562114.webspaceconfig.de/media/image/f0/07/5c/Tymbark-Wischnja-Jabko-250.jpg;1;;1;0;0;
G11976;http://shopware.p562114.webspaceconfig.de/media/image/55/47/a0/tymbark2lwisnia_z1SUyKorYCYtB7l.png;1;;1;0;0;
G12044;http://shopware.p562114.webspaceconfig.de/media/image/09/38/42/Vitarol-Zerwona-Kapusta-0-9.jpg;1;;1;0;0;
G10114;http://shopware.p562114.webspaceconfig.de/media/image/47/04/11/pamapol-bigos_z1.png;1;;1;0;0;
G10171;http://shopware.p562114.webspaceconfig.de/media/image/g0/57/4a/CENOS-Kasza-jaglana-400g.png;1;;1;0;0;
G10172;http://shopware.p562114.webspaceconfig.de/media/image/be/e9/ee/cenoskaszaowsiana400g_z1.png;1;;1;0;0;
G10167;http://shopware.p562114.webspaceconfig.de/media/image/5a/7c/53/CENOS-Grytschana-Bjala.png;1;;1;0;0;
G10169;http://shopware.p562114.webspaceconfig.de/media/image/02/03/9a/cenoskaszajeczmiennawiejska400g_z1.png;1;;1;0;0;
G10168;http://shopware.p562114.webspaceconfig.de/media/image/bc/14/33/cenoskaszajeczmiennamazurska400g_z1.png;1;;1;0;0;
G10170;http://shopware.p562114.webspaceconfig.de/media/image/5d/04/56/CENOS-Kasza-gryczana-prazona.png;1;;1;0;0;
G10173;http://shopware.p562114.webspaceconfig.de/media/image/92/07/ed/cenoskaszaowsiana400g_th.png;1;;1;0;0;
G10174;http://shopware.p562114.webspaceconfig.de/media/image/fb/1a/2e/cenoskaszaperlowajeczmienna400g.png;1;;1;0;0;
G10175;http://shopware.p562114.webspaceconfig.de/media/image/cf/4b/23/cenoskaszapeczakjeczmienny400g.png;1;;1;0;0;
G10225;http://shopware.p562114.webspaceconfig.de/media/image/61/09/ca/02031_herbapolsyropmalina-1.jpg;1;;1;0;0;
G10226;http://shopware.p562114.webspaceconfig.de/media/image/c9/3c/8e/D-em-Herbapol-Owoce-Le-ne.jpg;1;;1;0;0;
G10227;http://shopware.p562114.webspaceconfig.de/media/image/34/6b/6e/Dgem-Herbapol-Truskawka.jpg;1;;1;0;0;
G10228;http://shopware.p562114.webspaceconfig.de/media/image/60/1a/56/Dgem-Herbapol-Wischnja.jpg;1;;1;0;0;
G10603;http://shopware.p562114.webspaceconfig.de/media/image/06/f4/41/herbapol-tee-czystel.png;1;;1;0;0;
G10604;http://shopware.p562114.webspaceconfig.de/media/image/fa/2f/8e/herbapol-lipa-tee_z1.png;1;;1;0;0;
G10605;http://shopware.p562114.webspaceconfig.de/media/image/bf/05/fe/herbapol-melise-tee_z1.png;1;;1;0;0;
G10606;http://shopware.p562114.webspaceconfig.de/media/image/82/b9/6e/Herbapol-Tee-Polski-Rumianek.jpg;1;;1;0;0;
G11834;http://shopware.p562114.webspaceconfig.de/media/image/e7/b0/30/Syrop-Cytrina-Herbapol.jpg;1;;1;0;0;
G11836;http://shopware.p562114.webspaceconfig.de/media/image/80/f5/bf/Syrop-Czarna-Porzeczka-Herbapol.jpg;1;;1;0;0;
G11837;http://shopware.p562114.webspaceconfig.de/media/image/9e/b8/89/Syrop-Ingwer-Herbapo.png;1;;1;0;0;
G11838;http://shopware.p562114.webspaceconfig.de/media/image/7a/1a/11/Syrop-Kiwi-Herbapol.jpg;1;;1;0;0;
G11839;http://shopware.p562114.webspaceconfig.de/media/image/28/ae/bd/Syrop-Malina-Herbapol.jpg;1;;1;0;0;
G10063;http://shopware.p562114.webspaceconfig.de/media/image/79/2a/61/apfeljuliared_z1rFnRpVEIMyXwS.png;1;;1;0;0;
